type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	0.994	0.200	0.165	14.781	0.784	3.408	-1.418	13.939	1.682	15.716	0.055	-2.451	-0.784	1.943	0.914	1.769	1.170	0.916	0.207	0.873	-0.499	1.900	-0.131	3.987	0.986	3.953	1.121	0.318	-0.502	0.647	-0.099	1.397	1.018	1.227	0.966	1.562
fp	1.242	0.136	-0.423	13.965	0.453	6.288	0.577	9.438	-2.429	16.276	0.691	-1.635	-0.453	0.804	-0.878	2.439	2.309	0.360	-0.706	1.600	-0.318	1.338	-0.435	0.878	-0.769	0.873	-0.876	0.508	-0.386	0.392	-0.534	0.257	-0.818	0.257	-0.922	3.790
?	1.754	0.240	0.533	13.010	0.065	4.311	-0.792	10.645	-1.326	15.614	-0.061	-0.680	-0.065	1.067	-0.465	1.486	0.688	0.344	-0.732	1.360	-0.378	0.213	-1.044	3.646	0.794	0.414	-1.173	0.469	-0.410	0.064	-1.095	1.251	0.783	0.138	-1.152	3.169
fp	2.098	0.464	2.591	11.037	-0.735	6.980	1.057	11.153	-0.862	15.754	0.098	1.293	0.735	1.455	0.146	0.676	-0.691	0.767	-0.037	1.997	-0.219	1.641	-0.271	0.902	-0.756	2.607	0.248	0.665	-0.290	0.488	-0.370	0.303	-0.743	0.985	0.496	5.723
?	2.650	0.184	0.018	13.057	0.084	3.938	-1.051	12.248	0.138	15.143	-0.596	-0.727	-0.084	1.565	0.318	2.078	1.695	1.306	0.849	1.444	-0.357	1.284	-0.464	8.833	3.722	3.735	0.979	0.502	-0.390	0.442	-0.448	2.832	3.329	1.350	1.205	1.223
fp	2.866	0.216	0.312	13.296	0.181	8.536	2.135	10.730	-1.249	16.879	1.377	-0.966	-0.181	2.978	2.542	1.297	0.367	1.602	1.335	0.644	-0.556	6.340	2.273	3.265	0.579	6.503	2.774	0.176	-0.589	2.017	2.243	1.069	0.490	2.091	2.647	3.974
?	3.290	0.098	-0.768	12.042	-0.327	4.751	-0.487	12.936	0.766	15.835	0.190	0.288	0.327	1.021	-0.537	1.106	0.041	0.203	-0.964	1.027	-0.461	3.773	0.883	0.825	-0.799	0.754	-0.953	0.464	-0.413	1.135	0.736	0.303	-0.743	0.232	-0.971	2.808
?	3.458	0.064	-1.085	13.389	0.219	4.321	-0.785	12.398	0.275	15.836	0.192	-1.059	-0.219	1.121	-0.380	1.261	0.304	0.313	-0.783	0.464	-0.601	0.263	-1.017	3.101	0.486	1.447	-0.504	0.223	-0.560	0.079	-1.069	1.234	0.757	0.409	-0.625	1.800
?	3.714	0.280	0.900	13.203	0.143	3.909	-1.071	12.043	-0.050	16.558	1.012	-0.873	-0.143	2.302	1.479	0.803	-0.474	0.923	0.220	1.656	-0.304	10.047	4.280	4.883	1.492	3.517	0.838	0.648	-0.301	2.766	3.523	1.290	0.846	0.990	0.506	2.999
?	4.146	0.152	-0.276	12.693	-0.063	6.185	0.506	11.683	-0.378	12.681	-3.394	-0.363	0.063	0.972	-0.614	0.764	-0.542	2.137	2.216	0.599	-0.568	2.818	0.366	2.056	-0.104	5.438	2.083	0.207	-0.570	0.942	0.406	0.784	0.031	2.220	2.899	2.364
